title,authors,year,bibcode,abstract,search_query
Solar influences on cosmic rays and cloud formation: A reassessment,"Sun, Bomin, Bradley, Raymond S.",2002,2002JGRD..107.4211S,"Svensmark and Friis-Christensen [1997] proposed a ``cosmic ray-cloud cover'' hypothesis that cosmic ray flux, modulated by solar activity, may modify global cloud cover and thus global surface temperature by increasing the number of ions in the atmosphere, leading to enhanced condensation of water vapor and cloud droplet formation. We evaluate this idea by extending their period of study and examining long-term surface-based cloud data (from national weather services and the Global Telecommunica",cosmic ray cloud cover correlation
Solar activity and terrestrial climate: an analysis of some purported correlations,"Laut, Peter",2003,2003JASTP..65..801L,"The last decade has seen a revival of various hypotheses claiming a strong correlation between solar activity and a number of terrestrial climate parameters: Links between cosmic rays and cloud cover, first total cloud cover and then only low clouds, and between solar cycle lengths and Northern Hemisphere land temperatures. These hypotheses play an important role in the scientific as well as in the public debate about the possibility or reality of a man-made global climate change. I have analyze",cosmic ray cloud cover correlation
Variation of cosmic ray flux and global cloud coverage-a missing link in solar-climate relationships,"Svensmark, Henrik, Friis-Christensen, Eigil",1997,1997JASTP..59.1225S,"In the search for a physical mechanism that could account for reported correlations between solar activity parameters and climate, we have investigated the global cloud cover observed by satellites. We find that the observed variation of 3-4% of the global cloud cover during the recent solar cycle is strongly correlated with the cosmic ray flux. This, in turn, is inversely correlated with the solar activity. The effect is larger at higher latitudes in agreement with the shielding effect of the E",cosmic ray cloud cover correlation
On the correlation between cosmic ray intensity and cloud cover,"Erlykin, A. D., Gyalai, G., Kudela, K.",2009,2009JASTP..71.1794E,"Various aspects of the connection between cloud cover (CC) and cosmic rays (CR) are analyzed. Most features of this connection viz. an altitude dependence of the absolute values of CC and CR intensity, no evidence for the correlation between the ionization of the atmosphere and cloudiness, the absence of correlations in short-term low cloud cover (LCC) and CR variations indicate that there is no direct causal connection between LCC and CR in spite of the evident long-term correlation between the",cosmic ray cloud cover correlation
Diffuse continuum gamma rays from the Galaxy observed by COMPTEL.,"Strong, A. W., Bennett, K., Bloemen, H.",1994,1994A&A...292...82S,"The diffuse Galactic continuum gamma-ray emission has been studied using the full Sky Survey from COMPTEL on the Compton Observatory CGRO. The diffuse emission appears to be visible in the whole 0.75-30MeV range covered by the instrument, although a considerable contribution from unresolved point sources cannot be excluded. A correlation analysis using HI and CO surveys of the Galaxy is used to derive the Galactic emissivity spectrum, and this is consistent with a smooth continuation to the spec",cosmic ray cloud cover correlation
A single source of cosmic rays in the range ? - ? eV,"Erlykin, A. D., Wolfendale, A. W.",1997,1997JPhG...23..979E,"The advent of new and improved extensive air shower (EAS) arrays - and the attendant generation of data of higher statistical precision than hitherto - has led us to return to an old problem: the origin of the change in spectral slope at an energy of 0954-3899/23/8/012/img3 eV. The data recorded are the so-called shower size spectra at ground level, i.e. the spectrum of the total number of cosmic rays inferred for each shower, and we use results from seven arrays which are situated at levels ran",Erlykin Wolfendale cosmic ray
The anisotropy of galactic cosmic rays as a product of stochastic supernova explosions,"Erlykin, A. D., Wolfendale, A. W.",2006,2006APh....25..183E,"We study the effect of the stochastic character of supernova explosions on the anisotropy of galactic cosmic rays below the knee. We conclude that if the bulk of cosmic rays are produced in supernova explosions the observed small and nearly energy independent amplitude of the anisotropy and its phase are to the large extent determined by the history of these explosions in the vicinity of the solar system, namely by the location and the age of the supernova remnants, within a few kpc, which give ",Erlykin Wolfendale cosmic ray
Structure in the cosmic ray spectrum: an update,"Erlykin, A. D., Wolfendale, A. W.",2001,2001JPhG...27.1005E,"An update is given of the evidence from extensive air showers relating to our claim that there is `structure' in the energy spectrum of high-energy cosmic rays. The structure is explained, in our model, in terms of there having been a recent nearby supernova, the remnant of which has accelerated cosmic ray nuclei, with rather sharp energy cut-offs at ~ 3×10<SUP>6</SUP> GeV for oxygen nuclei and ~ 1×10<SUP>7</SUP> GeV for iron nuclei. The addition of the later data on the shower size spectra whic",Erlykin Wolfendale cosmic ray
A new component of cosmic rays?,"Erlykin, A. D., Wolfendale, A. W.",2012,2012APh....35..449E,"Recent direct measurements of the energy spectra of the major mass components of cosmic rays have indicated the presence of a 'kink' in the region of 200 GeV per nucleon. The kink, which varies in magnitude from one element to another, is much sharper than predicted by our cosmic ray origin model in which supernova remnants are responsible for cosmic ray acceleration and it appears as though a new, steeper component is responsible.The component amounts to about 20 percent of the total at 30 GeV/",Erlykin Wolfendale cosmic ray
Cosmic rays and the Monogem supernova remnant,"Erlykin, A. D., Wolfendale, A. W.",2004,2004APh....22...47E,Recent findings indicate that the Monogem Ring and the associated pulsar PSR B0656 + 14 may be the `Single Source' responsible for the formation of the sharp knee in the cosmic ray energy spectrum at ∼3 PeV. The energy spectrum of cosmic rays expected for the Monogem Ring supernova remnant (SNR) from our SNR acceleration model [J. Phys. G: Nucl. Part. Phys. 27 (2001) 941] has been published by us elsewhere [J. Phys. G: Nucl. Part. Phys. 29 (2003) 709] . In this paper we go on to estimate the con,Erlykin Wolfendale cosmic ray
Increased ionization supports growth of aerosols into cloud condensation nuclei,"Svensmark, H., Enghoff, M. B., Shaviv, N. J.",2017,2017NatCo...8.2199S,"Ions produced by cosmic rays have been thought to influence aerosols and clouds. In this study, the effect of ionization on the growth of aerosols into cloud condensation nuclei is investigated theoretically and experimentally. We show that the mass-flux of small ions can constitute an important addition to the growth caused by condensation of neutral molecules. Under atmospheric conditions the growth from ions can constitute several percent of the neutral growth. We performed experimental studi",Svensmark cloud nucleation cosmic ray
